dieturn_id,image,conf,src_px,is_representative
dt_wsqqmv0p4,TPS_00297,0.9714,"460.0,172.6;459.6,138.6;398.2,139.4;398.6,173.4",True
dt_wsqqwt342,TPS_00522,0.9714,"565.1,646.9;589.7,600.2;565.6,587.5;541.0,634.3",True
dt_wsqqv1zu9,TPS_00561,0.9714,"396.0,747.6;362.2,689.4;324.9,711.1;358.8,769.3",True
dt_wsqqw4mqw,TPS_01193,0.9714,"675.6,474.0;670.0,441.9;615.8,451.3;621.3,483.4",True
dt_wsqqw4mqw,TPS_02487,0.9705,"419.6,985.9;414.1,953.9;359.8,963.3;365.3,995.3",False
dt_wsqqqrcmq,TPS_02461,0.9712,"158.4,91.5;146.7,60.5;99.4,78.5;111.1,109.4",True
dt_wsqqqrcmq,TPS_02460,0.9707,"670.4,91.5;658.7,60.5;611.4,78.5;623.1,109.4",False
dt_wsqqw9gfq,TPS_00364,0.9711,"187.3,557.6;157.1,506.3;127.6,523.7;157.9,574.9",True
dt_wsqqv27mz,TPS_00890,0.9711,"513.2,432.2;504.9,397.4;408.2,420.2;416.4,455.0",True
dt_wsqqmh4uw,TPS_00554,0.9706,"418.1,411.2;421.8,382.9;379.7,377.5;376.1,405.9",True
dt_wsqqmwkv3,TPS_01393,0.9706,"398.2,619.9;385.3,563.3;350.0,571.4;363.0,627.9",True
dt_wsqqt0d6u,TPS_01586,0.9706,"765.4,428.5;808.4,365.1;781.6,346.8;738.5,410.2",True
dt_wsqqqrrsh,TPS_00738,0.9705,"555.0,622.1;553.9,591.2;512.7,592.7;513.8,623.6",True
dt_wsqqwdju4,TPS_00898,0.9705,"723.7,585.2;705.0,560.1;669.2,586.8;688.0,611.9",True
dt_wsqqw6fzq,TPS_02364,0.9705,"209.1,565.9;199.8,515.9;170.6,521.3;179.9,571.3",True
dt_wsqqv3dk7,TPS_00560,0.9704,"495.7,794.6;487.3,758.5;443.6,768.6;452.0,804.8",True
dt_wsqqkv448,TPS_00928,0.9704,"565.9,915.8;562.5,876.5;471.5,884.4;474.9,923.8",True
dt_wsqqks7k9,TPS_00085,0.9703,"413.5,682.4;393.1,658.7;346.8,698.7;367.2,722.3",True
dt_wsqqwe0h5,TPS_00754,0.9703,"281.7,509.2;267.8,474.2;203.8,499.7;217.8,534.7",True
dt_wsqqxnp1r,TPS_00839,0.9703,"786.7,555.2;761.3,507.3;731.8,523.0;757.2,570.9",True
dt_wsqqw2bpd,TPS_00216,0.9702,"430.8,397.1;426.6,356.5;347.8,364.6;352.0,405.2",True
dt_wsqqjtxn0,TPS_01051,0.9702,"285.4,440.6;299.2,402.1;268.6,391.2;254.9,429.7",True
dt_wsqqm5v6n,TPS_00491,0.9701,"443.9,332.3;434.4,284.0;350.5,300.5;360.0,348.8",True
dt_wsqqtb84w,TPS_00626,0.9701,"430.5,249.5;429.1,216.6;382.1,218.6;383.5,251.5",True
dt_wsqqx2exd,TPS_00877,0.9701,"429.8,395.2;424.5,363.8;383.5,370.7;388.8,402.1",True
dt_wsqqt7tdp,TPS_01222,0.9701,"539.7,661.7;539.5,623.8;469.4,624.2;469.6,662.1",True
dt_wsqqwdjsy,TPS_00898,0.9699,"466.3,364.3;449.9,343.7;413.4,372.9;429.9,393.4",True
