id,conf,lat,lon,intersection_id,corner,src_image,n_detections
dt_wsqqmh6t2,0.7282,25.0291677,121.512248,TPS_00823,NE,TPS_00823,2
dt_wsqqv0rbx,0.7281,25.0942509,121.5197501,TPS_01978,NE,TPS_01978,1
dt_wsqqmnzrw,0.7274,25.0432781,121.5190283,TPS_00949,NE,TPS_00949,2
dt_wsqqvch4v,0.7261,25.0987747,121.547462,TPS_00425,NW,TPS_00425,1
dt_wsqqv1s6g,0.7259,25.101495,121.5147783,TPS_01123,SE,TPS_01123,1
dt_wsqqte98e,0.7255,25.0681812,121.5329585,TPS_02498,SE,TPS_02498,1
dt_wsqqqm57q,0.7219,25.0329272,121.5684509,TPS_00133,NE,TPS_00133,1
dt_wsqqmnm4d,0.718,25.0396669,121.5157571,TPS_02096,NE,TPS_02096,1
dt_wsqqmq1q6,0.7177,25.0389381,121.5215848,TPS_00287,NW,TPS_00287,1
dt_wsqqt6jek,0.7172,25.0604104,121.5275072,TPS_00709,NW,TPS_00709,1
dt_wsqqm6vym,0.7149,25.0210782,121.527915,TPS_00496,SE,TPS_00496,1
dt_wsqqundb8,0.7147,25.1285687,121.4686205,TPS_01308,NW,TPS_01308,1
dt_wsqqtfq82,0.7137,25.0612683,121.5506808,TPS_01146,NW,TPS_01146,1
dt_wsqqmp0jp,0.7102,25.0442061,121.5091299,TPS_00169,SE,TPS_00169,1
dt_wsqqmjmyx,0.7091,25.0348489,121.5170066,TPS_00067,SE,TPS_00067,1
dt_wsqqmehyq,0.7085,25.0224713,121.5375608,TPS_01219,SE,TPS_01219,1
dt_wsqqwyqwr,0.7072,25.0842579,121.5949531,TPS_00267,NW,TPS_00267,1
dt_wsqqtq7x4,0.7052,25.0843864,121.5246924,TPS_00343,NW,TPS_00343,1
dt_wsqqmnkbv,0.7049,25.0393706,121.5155611,TPS_02096,SW,TPS_02096,1
dt_wsqqw3s1w,0.7024,25.0573559,121.5694913,TPS_02467,NE,TPS_01180,2
dt_wsqqte98g,0.7014,25.0682003,121.5329582,TPS_02497,SW,TPS_02497,1
dt_wsqqkevpg,0.7004,25.0268283,121.493827,TPS_00920,SE,TPS_00920,1
dt_wsqqwcm0n,0.6991,25.0557337,121.5928347,TPS_01806,NW,TPS_01806,1
dt_wsqqt7xb3,0.6966,25.0681067,121.5304776,TPS_00663,SE,TPS_00663,2
dt_wsqqmr8r9,0.6958,25.0473786,121.520194,TPS_00037,NW,TPS_00037,1
dt_wsqqwemp4,0.6954,25.0678957,121.5816735,TPS_00800,SE,TPS_00800,1
dt_wsqqtc1bb,0.6939,25.0544872,121.5441678,TPS_00650,SE,TPS_00650,1
dt_wsqqv7vm2,0.6934,25.1142831,121.5269923,TPS_00123,SW,TPS_00123,1
dt_wsqqtg1vu,0.6919,25.0663298,121.5443287,TPS_01197,SE,TPS_01197,1
dt_wsqqqx65v,0.6914,25.0453766,121.5776711,TPS_00335,SW,TPS_00335,2
