id,lat,lon,n_nodes,source,zoom,grid,tile_x0,tile_y0,blank_tiles,status,path
TPS_00046,25.022778,121.548721,6,taipei_udd_Image_2025,21,4,1756647,897938,0,ok,taipei_z21/images/TPS_00046.jpg
TPS_00047,25.038249,121.528313,6,taipei_udd_Image_2025,21,4,1756528,897839,0,ok,taipei_z21/images/TPS_00047.jpg
TPS_00048,25.034083,121.527273,6,taipei_udd_Image_2025,21,4,1756522,897865,0,ok,taipei_z21/images/TPS_00048.jpg
TPS_00049,25.062769,121.522623,6,taipei_udd_Image_2025,21,4,1756495,897681,0,ok,taipei_z21/images/TPS_00049.jpg
TPS_00050,25.046043,121.530736,6,taipei_udd_Image_2025,21,4,1756542,897788,0,ok,taipei_z21/images/TPS_00050.jpg
TPS_00051,25.052251,121.522553,6,taipei_udd_Image_2025,21,4,1756494,897748,0,ok,taipei_z21/images/TPS_00051.jpg
TPS_00052,25.05721,121.581374,6,taipei_udd_Image_2025,21,4,1756837,897717,0,ok,taipei_z21/images/TPS_00052.jpg
TPS_00053,24.98247,121.567043,6,taipei_udd_Image_2025,21,4,1756753,898197,0,ok,taipei_z21/images/TPS_00053.jpg
TPS_00054,25.100433,121.550776,6,taipei_udd_Image_2025,21,4,1756659,897439,0,ok,taipei_z21/images/TPS_00054.jpg
TPS_00055,25.054805,121.533208,6,taipei_udd_Image_2025,21,4,1756556,897732,0,ok,taipei_z21/images/TPS_00055.jpg
TPS_00056,24.998851,121.543463,6,taipei_udd_Image_2025,21,4,1756616,898092,0,ok,taipei_z21/images/TPS_00056.jpg
TPS_00057,25.072281,121.551376,6,taipei_udd_Image_2025,21,4,1756662,897620,0,ok,taipei_z21/images/TPS_00057.jpg
TPS_00058,25.054001,121.560672,6,taipei_udd_Image_2025,21,4,1756716,897737,0,ok,taipei_z21/images/TPS_00058.jpg
TPS_00059,25.048235,121.558356,6,taipei_udd_Image_2025,21,4,1756703,897774,0,ok,taipei_z21/images/TPS_00059.jpg
TPS_00060,25.064918,121.536701,6,taipei_udd_Image_2025,21,4,1756577,897667,0,ok,taipei_z21/images/TPS_00060.jpg
TPS_00061,25.042595,121.548877,6,taipei_udd_Image_2025,21,4,1756648,897811,0,ok,taipei_z21/images/TPS_00061.jpg
TPS_00062,25.04356,121.54888,6,taipei_udd_Image_2025,21,4,1756648,897804,0,ok,taipei_z21/images/TPS_00062.jpg
TPS_00063,25.046144,121.548903,6,taipei_udd_Image_2025,21,4,1756648,897788,0,ok,taipei_z21/images/TPS_00063.jpg
TPS_00064,25.03096,121.548781,6,taipei_udd_Image_2025,21,4,1756647,897885,0,ok,taipei_z21/images/TPS_00064.jpg
TPS_00065,25.047095,121.541855,6,taipei_udd_Image_2025,21,4,1756607,897782,0,ok,taipei_z21/images/TPS_00065.jpg
TPS_00066,25.056623,121.560467,6,taipei_udd_Image_2025,21,4,1756715,897720,0,ok,taipei_z21/images/TPS_00066.jpg
TPS_00067,25.034906,121.516701,5,taipei_udd_Image_2025,21,4,1756460,897860,0,ok,taipei_z21/images/TPS_00067.jpg
TPS_00068,25.110499,121.511255,5,taipei_udd_Image_2025,21,4,1756428,897374,0,ok,taipei_z21/images/TPS_00068.jpg
TPS_00069,25.090261,121.527383,5,taipei_udd_Image_2025,21,4,1756522,897504,0,ok,taipei_z21/images/TPS_00069.jpg
TPS_00070,25.033934,121.504698,5,taipei_udd_Image_2025,21,4,1756390,897866,0,ok,taipei_z21/images/TPS_00070.jpg
TPS_00071,25.041301,121.557689,5,taipei_udd_Image_2025,21,4,1756699,897819,0,ok,taipei_z21/images/TPS_00071.jpg
TPS_00072,25.038015,121.538228,5,taipei_udd_Image_2025,21,4,1756585,897840,0,ok,taipei_z21/images/TPS_00072.jpg
